Structural Framework,Topics,Resource Type,Resource Name,Authors,Link,Citation (APA)
"Healthcare Policies & Approaches, Immigration, Mental Health, The Carceral System & Abolition","chronic illness, community-led, health disparity, immigrant, policy change, stress, trauma-informed, undocumented",article,"The impact of Immigration and Customs Enforcement on immigrant health: Perceptions of immigrants in Everett, Massachusetts, USA","Karen Hacker, Jocelyn Chua, Carolyn Leung, Robert Marra, Alex Pirie, Mohamed Brahimi, Margaret English, Joshua Beckmann, Dolores Acevedo-Garcia, and Robert P.Marlin",https://www.sciencedirect.com/science/article/abs/pii/S0277953611003522,"Karen Hacker, Jocelyn Chu, Carolyn Leung, Robert Marra, Alex Pirie, Mohamed Brahimi, Margaret English, Joshua Beckmann, Dolores Acevedo-Garcia, Robert P. Marlin,
The impact of Immigration and Customs Enforcement on immigrant health: Perceptions of immigrants in Everett, Massachusetts, USA,
Social Science & Medicine,
Volume 73, Issue 4,
2011,
Pages 586-594,
ISSN 0277-9536,
https://doi.org/10.1016/j.socscimed.2011.06.007."
"Disability Justice, Healthcare Policies & Approaches, Mental Health, Public Health","community-led, harm reduction, people who use drugs (pwud), substance use, unhoused",article,Principles of Harm Reduction,National Harm Reduction Coalition,https://harmreduction.org/about-us/principles-of-harm-reduction/,"National Harm Reduction Coalition. (2021, May 23). Harm reduction principles. National Harm Reduction Coalition. Retrieved from https://harmreduction.org/about-us/principles-of-harm-reduction/ "
"Disability Justice, Healthcare Policies & Approaches, Mental Health, Public Health","community-led, harm reduction, people who use drugs (pwud), policy change, substance use",article,Situating the Continuum of Overdose Risk in the Social Determinants of Health: A New Conceptual Framework,"Ju Nyeong Park, Saba Rouhani, Leo Beletsky, Louise Vincent, Brendan Saloner, and Susan G Sherman",https://pubmed.ncbi.nlm.nih.gov/32808709/,"Park, J. N., Rouhani, S., Beletsky, L., Vincent, L., Saloner, B., & Sherman, S. G. (2020). Situating the Continuum of Overdose Risk in the Social Determinants of Health: A New Conceptual Framework. The Milbank quarterly
, 98
(3), 700–746. https://doi.org/10.1111/1468-0009.12470"
"Healthcare Policies & Approaches, Mental Health, Public Health","decriminalization, harm reduction, incarcerated, people who use drugs (pwud), policy change, substance use, trauma-informed",article,Drug Decriminalization,The Drug Policy Alliance,https://drugpolicy.org/issues/drug-decriminalization,"Drug decriminalization. Drug Policy Alliance. (2022). Retrieved from https://drugpolicy.org/issues/drug-decriminalization "
"Anti-Racism, Environmental Health, Public Health, Reproductive Justice, The Carceral System & Abolition","Black, abolition medicine, chronic illness, community-led, food insecurity, gender-based violence, health disparity, police brutality, policy change",website,The Black Feminist Project,,https://www.theblackfeministproject.org/,Black Feminist Project. (n.d.). Retrieved from https://www.theblackfeministproject.org/
"Anti-Racism, Healthcare Policies & Approaches, Housing Justice, Mental Health, The Carceral System & Abolition","Black, HIV/AIDS, LGBTQIA2+, community-led, food insecurity, gender-based violence, police brutality, policy change, substance use, trans & gender nc, unhoused, women",website,TGI Justice,,http://www.tgijp.org/about-us.html,"About Us. TGI Justice. (n.d.). Retrieved from http://www.tgijp.org/about-us.html "
"Coloniality & Decolonization, Defining Justice, Public Health","Black, Indigenous, Indigenous healing, Latinx, chronic illness, community-led, stress, traditional medicine, trans & gender nc, trauma-informed, uninsured",website,Freedom Clinic,,https://www.freedomcommunityclinic.org/,Freedom Community Clinic. (n.d.). Retrieved from https://www.freedomcommunityclinic.org/
"Defining Justice, Disability Justice","chronic illness, community-led, disabled, narrative medicine",article,Disease Is Not a Metaphor,Cyree Jarelle Johnson,http://www.bgdblog.org/2013/07/2013729disease-is-not-a-metaphor/,"Johnson, Cyree Jarelle. “Disease Is Not A Metaphor.” Retrieved from http://www.blackgirldangerous.org/2013/07/2013729disease-isnot-a-metaphor/"
"Coloniality & Decolonization, Environmental Health, Public Health, Reproductive Justice, Research Ethics","Indigenous, Indigenous healing, chronic illness, community-led, covid-19, food insecurity, health disparity, pandemic response, policy change, quality measures, stress, traditional medicine",article,In Plain Sight: Addressing Indigenous-specific Racism and Discrimination in B.C. Health Care,Addressing Racism Review Summary Report,https://engage.gov.bc.ca/app/uploads/sites/613/2020/11/In-Plain-Sight-Summary-Report.pdf,
"Healthcare Policies & Approaches, Intersectional Feminism, Mental Health, Reproductive Justice","birth advocacy, birthing people, childbirth, mental health programs, pregnancy, teen pregnancy, women, youth",article,"Teenage Childbearing, Reproductive Justice, and Infant Mental Health",Sydney L. Hans and Barbara A. White,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6972509/,"Hans, S. L., & White, B. A. (2019). Teenage Childbearing, Reproductive Justice, and Infant Mental Health. Infant mental health journal
, 40
(5), 690–709. https://doi.org/10.1002/imhj.21803"
"Healthcare Policies & Approaches, Intersectional Feminism, Reproductive Justice","birth advocacy, birthing people, patient-centered care, policy change, pregnancy, teen pregnancy, youth",article,Contraceptive Care Using Reproductive Justice Principles: Beyond Access,"Denicia Sam Cadena, Aisha Chaudhri, and Cherisse Scott",https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2022.306915,"Denicia Sam Cadena , Aisha Chaudhri, Cherisse Scott “Contraceptive Care Using Reproductive Justice Principles: Beyond Access”, American Journal of Public Health
 112, no. S5 (June 1, 2022): pp. S494-S499."
"Healthcare Policies & Approaches, Intersectional Feminism, Reproductive Justice","Black, birth advocacy, birthing people, childbirth, pandemic response, patient-centered care, postpartum, pregnancy, prenatal",article,"Creativity, Resilience and Resistance: Black Birthworkers’ Responses to the COVID-19 Pandemic","Julia Chinyere Oparah, Jennifer E. James, Destany Barnett, Linda Marie Jones, Daphina Melbourne, Sayida Peprah, and Jessica A. Walker",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8022614/,"Oparah, J. C., James, J. E., Barnett, D., Jones, L. M., Melbourne, D., Peprah, S., & Walker, J. A. (2021). Creativity, Resilience and Resistance: Black Birthworkers' Responses to the COVID-19 Pandemic. Frontiers in sociology
, 6
, 636029. https://doi.org/10.3389/fsoc.2021.636029"
"Defining Justice, Intersectional Feminism, Reproductive Justice","Black, Indigenous, Latinx, birth advocacy, birthing people, gender-based violence, health disparity, prevention, teen pregnancy, women, youth",report,"Dismantling Teen Pregnancy Prevention, 2016","Micaela Cadena, Raquel Z. Rivera, Tannia Esparza, and Denicia Cadena",https://forwomen.org/wp-content/uploads/2016/06/Dismantling-Teen-Pregnancy-Prevention.pdf,"Cadena, Micaela, Raquel Z. Rivera, Tannia Esparza and Denicia Cadena. Dismantling
Teen Pregnancy Prevention. Albuquerque, New Mexico: Young Women United, 2016."
"Intersectional Feminism, Reproductive Justice","birth advocacy, birthing people, childbirth, community-led, health disparity, pregnancy, teen pregnancy",article,Rhetorics of Reproductive Justice in Public & Civic Contexts: A Toolkit,Reflections: A Journal of Community-Engaged Writing & Rhetoric,https://reflectionsjournal.net/wp-content/uploads/2020/12/ToolkitColor.pdf,
"Intersectional Feminism, Reproductive Justice","birthing people, pregnancy, teen pregnancy",article,“Power to Decide” Who Should Get Pregnant: A Feminist Rhetorical Analysis of Neoliberal Visions of Reproductive Justice,Jenna Vinson and Clare Daniel,https://www.presenttensejournal.org/volume-8/power-to-decide-who-should-get-pregnant-a-feminist-rhetorical-analysis-of-neoliberal-visions-of-reproductive-justice/,
